COL,CP,TIPO PENSION,EDAD,MUNICIPIO,CIUDAD
MAXIMO GAMIZ,34230,CE,51,Durango,Victoria de Durango
VICENTE GUERRERO,34948,CE,51,Pueblo Nuevo,El Salto
FRACC. SAN FELIPE,35158,CE,51,Lerdo,Ciudad Lerdo
ESTACION,34700,VI,50,Guadalupe Victoria,
NUEVO REFUGIO,35029,CE,50,Gómez Palacio,Gómez Palacio
FILADELFIA,35010,CE,50,Gómez Palacio,Gómez Palacio
EJ LUCERO,35265,VI,49,Tlahualilo,
LOC. HEROES DE NACOZARI,34348,VI,49,,
CENTRO,34000,AS,49,Durango,Victoria de Durango
HUIZACHE II,34160,CE,49,Durango,Victoria de Durango
FILADELFIA,35010,CE,49,Gómez Palacio,Gómez Palacio
FELIPE CARRILLO PUERTO,35010,CE,49,Gómez Palacio,Gómez Palacio
POB. SAN IGNACIO DE LOYOLA,34000,IN,49,Durango,Victoria de Durango
SAN ANTONIO,35015,IN,49,Gómez Palacio,Gómez Palacio
JERUSALEM,35067,CE,48,Gómez Palacio,Gómez Palacio
EL POLVORIN,35163,CE,48,Lerdo,Ciudad Lerdo
FRACC JARDINES DE SAN ANTONIO,34227,IN,48,Durango,Victoria de Durango
LUZ DEL CARMEN,34000,VI,48,Durango,Victoria de Durango
CAMPILLO SAENZ,35079,IN,47,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35060,CE,46,Gómez Palacio,Gómez Palacio
BELLAVISTA,35050,CE,46,Gómez Palacio,Gómez Palacio
HECTOR MAYAGOITIA,35050,CE,46,Gómez Palacio,Gómez Palacio
NAZAS,35700,VI,45,Nazas,
FILADELFIA,35010,IN,40,Gómez Palacio,Gómez Palacio
LOC. SAN BERNARDINO DE MILPILLAS,34960,VO,39,Pueblo Nuevo,
BENITO JUAREZ,34167,VO,38,Durango,Victoria de Durango
FRACC VILLAS DEL GUADIANA I,34224,IN,37,Durango,Victoria de Durango
VALLE DE SANTA MARIA,66670,IPP,37,,
VILLA NAPOLES,35018,CE,36,Gómez Palacio,Gómez Palacio
RODOLFO FIERRO,35045,CE,36,Gómez Palacio,Gómez Palacio
MIGUEL DE LA MADRID,34046,CE,36,Durango,Victoria de Durango
SILVESTRE DORADOR,34070,VE,35,Durango,Victoria de Durango
JACINTO CANEK,35030,CE,35,Gómez Palacio,Gómez Palacio
CENTRO,34420,VE,34,Nuevo Ideal,
DEL VALLE,35157,VO,32,Lerdo,Ciudad Lerdo
JOSE LOPEZ PORTILLO,35026,VI,54,Gómez Palacio,Gómez Palacio
MONTE BELLO,35157,CE,54,Lerdo,Ciudad Lerdo
CENTRO,35000,CE,54,Gómez Palacio,Gómez Palacio
